combinacion,accuracy,f1,precision,recall
('volatile_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'density'),0.47928994082840237,0.45541964506108534,0.44066807993885726,0.47928994082840237
('volatile_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'pH'),0.46272189349112425,0.4309828369279867,0.42331347582183704,0.46272189349112425
('volatile_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'sulphates'),0.4710059171597633,0.4421214463113294,0.4673436809584288,0.4710059171597633
('volatile_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide', 'alcohol'),0.5514792899408284,0.5269454148583468,0.5277148362834828,0.5514792899408284
('volatile_acidity', 'free_sulfur_dioxide', 'density', 'pH'),0.4840236686390533,0.4587161600974576,0.4556053222570835,0.4840236686390533
('volatile_acidity', 'free_sulfur_dioxide', 'density', 'sulphates'),0.4863905325443787,0.4574671772022056,0.45208421986772157,0.4863905325443787
('volatile_acidity', 'free_sulfur_dioxide', 'density', 'alcohol'),0.5526627218934911,0.5270011784919374,0.558785761663858,0.5526627218934911
('volatile_acidity', 'free_sulfur_dioxide', 'pH', 'sulphates'),0.48284023668639053,0.44806588504793404,0.46599452600627433,0.48284023668639053
('volatile_acidity', 'free_sulfur_dioxide', 'pH', 'alcohol'),0.527810650887574,0.4990302961565372,0.4830328812770285,0.527810650887574
('volatile_acidity', 'free_sulfur_dioxide', 'sulphates', 'alcohol'),0.5443786982248521,0.515669423826323,0.49969512111780356,0.5443786982248521
('volatile_acidity', 'total_sulfur_dioxide', 'density', 'pH'),0.5053254437869823,0.47927075923132895,0.49973400927681805,0.5053254437869823
